Badge,Feeder,Latitude,Longitude
ME-1Q2000395,Newton,13.0820433,-59.54195161
ME-1Q2000397,Newton,13.08190498,-59.54107303
ME-1Q2000398,Newton,13.08178044,-59.54293801
ME-1Q2000404,Newton,13.0797844,-59.54432427
ME-1Q2000405,Newton,13.0786806,-59.5432455
ME-1Q2000408,Newton,13.08083261,-59.54459039
ME-1Q2000409,Newton,13.0808334,-59.54450993
ME-1Q2000410,Newton,13.08083301,-59.54455137
ME-1Q2000412,Newton,13.08079189,-59.54459974
ME-1Q2000413,Newton,13.08079707,-59.54455833
ME-1Q2000415,Newton,13.08079078,-59.54447048
ME-1Q2000884,Newton,13.07441699,-59.53809023
ME-1Q2000885,Newton,13.07434777,-59.53812901
ME-1Q2000888,Newton,13.07495895,-59.53740789
ME-1Q2000889,Newton,13.07460885,-59.53769472
ME-1Q2000890,Newton,13.07490858,-59.53719948
ME-1Q2000892,Newton,13.07508894,-59.53768482
ME-1Q2000895,Newton,13.07518215,-59.53783208
ME-1Q2000896,Newton,13.07810001,-59.53669588
ME-1Q2000898,Newton,13.07811468,-59.53621465
ME-1Q2000903,Newton,13.07467447,-59.53877759
ME-1Q2000908,Newton,13.0787203,-59.54337093
ME-1Q2000911,Newton,13.0807924,-59.53140658
ME-1Q2000913,Newton,13.07805423,-59.53040737
ME-1Q2001032,Newton,13.07904392,-59.52975109
ME-1Q2001033,Newton,13.07882386,-59.53015872
ME-1Q2001036,Newton,13.07505206,-59.53454247
ME-1Q2001044,Newton,13.07695275,-59.5373449
ME-1Q2001053,Newton,13.07595026,-59.53639713
ME-1Q2001054,Newton,13.07532158,-59.53635658
ME-1P1000094,Newton,13.07750144,-59.53508255
ME-1P1000095,Newton,13.07652558,-59.53681819
ME-1P1000096,Newton,13.07752101,-59.53503788
ME-1P1000098,Newton,13.07566883,-59.53800614
ME-1P1000099,Newton,13.07549097,-59.53844293
ME-1P1000100,Newton,13.07547133,-59.53857749
ME-1P1000103,Newton,13.07693348,-59.53730475
ME-1P1000104,Newton,13.07741791,-59.53805849
ME-1P1000105,Newton,13.07845009,-59.53564743
ME-1P1000106,Newton,13.07846691,-59.53779073
ME-1P1000108,Newton,13.07822512,-59.53829687
ME-1P1000109,Newton,13.07816763,-59.53832203
ME-1P1000111,Newton,13.07608034,-59.54851104
ME-1P1000112,Newton,13.07696998,-59.54893209
ME-1P1000113,Newton,13.07636531,-59.54806377
ME-1Q2000416,Newton,13.08085959,-59.54253231
ME-1Q2000418,Newton,13.08091937,-59.5442292
ME-1Q2000419,Newton,13.08085649,-59.54277321
ME-1Q2000420,Newton,13.08025652,-59.54565753
ME-1Q2000423,Newton,13.08048471,-59.54673355
ME-1Q2000424,Newton,13.08088634,-59.54490642
ME-1Q2000426,Newton,13.08074481,-59.54358842
ME-1Q2000433,Newton,13.08076193,-59.54491733
ME-1Q2000435,Newton,13.08085392,-59.5443212
ME-1Q2000436,Newton,13.08078996,-59.54695138
ME-1Q2000437,Newton,13.08038558,-59.54654415
ME-1Q2000439,Newton,13.08086379,-59.54693651
ME-1Q2000441,Newton,13.07909521,-59.54818601
ME-1Q2000442,Newton,13.07937353,-59.54808922
ME-1Q2000445,Newton,13.08185173,-59.54258126
ME-1Q2000914,Newton,13.07805265,-59.53044757
ME-1Q2000915,Newton,13.07831313,-59.53074364
ME-1Q2000924,Newton,13.07465294,-59.54041753
ME-1Q2000925,Newton,13.07418588,-59.53997226
ME-1Q2000926,Newton,13.07442402,-59.54057908
ME-1Q2000927,Newton,13.07410062,-59.53998795
ME-1Q2000928,Newton,13.07478268,-59.54212108
