OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
9576,ME-1Q2025158,Oistins,13.06008955,-59.5279612,3
9577,ME-1Q2025401,Oistins,13.06209249,-59.53678303,3
9578,ME-1Q2025223,Oistins,13.05867895,-59.53134746,3
9579,ME-1Q2025272,Oistins,13.0613413,-59.53790534,3
9580,ME-1Q2025191,Oistins,13.06079189,-59.53719803,3
9581,ME-1Q2025393,Oistins,13.05604783,-59.53272207,3
9582,ME-1Q2025150,Oistins,13.05984769,-59.52613949,3
9583,ME-1Q2025336,Oistins,13.05586044,-59.53304655,3
9584,ME-1Q2025155,Oistins,13.06093389,-59.52862603,3
9585,ME-1Q2025206,Oistins,13.05838505,-59.53331027,3
9586,ME-1Q2025146,Oistins,13.06199287,-59.53345117,3
9587,ME-1Q2025262,Oistins,13.05978142,-59.53724455,3
9588,ME-1Q2025267,Oistins,13.06149528,-59.53719644,3
9589,ME-1Q2025222,Oistins,13.05444749,-59.53190735,3
9590,ME-1Q2025327,Oistins,13.05552364,-59.53380682,3
9591,ME-1Q2025409,Oistins,13.05628385,-59.53318859,3
9592,ME-1Q2025426,Oistins,13.05393533,-59.52808365,3
9593,ME-1Q2025397,Oistins,13.05594801,-59.53207328,3
9594,ME-1Q2025337,Oistins,13.05559317,-59.53285738,3
9595,ME-1Q2025284,Oistins,13.06114874,-59.53809347,3
9596,ME-1Q2025173,Oistins,13.0565024,-59.52740816,3
9597,ME-1Q2025370,Oistins,13.05452822,-59.53122785,3
9598,ME-1Q2025270,Oistins,13.06176364,-59.53752253,3
9599,ME-1Q2025254,Oistins,13.057837,-59.53183843,3
9600,ME-1Q2025483,Oistins,13.0554949,-59.52947396,3
9601,ME-1Q2025610,Oistins,13.05395345,-59.52721048,3
9602,ME-1Q2025464,Oistins,13.05617598,-59.52890095,3
9603,ME-1Q2025667,Oistins,13.05260885,-59.5331249,3
9604,ME-1Q2025542,Oistins,13.05387238,-59.53032363,3
9605,ME-1Q2025519,Oistins,13.0527088,-59.52857831,3
9606,ME-1Q2025950,Oistins,13.05363526,-59.52822448,3
9607,ME-1P1007214,Oistins,13.05398812,-59.53119313,3
9608,ME-1Q2025266,Oistins,13.06155607,-59.53714668,3
9609,ME-1Q2025252,Oistins,13.05786544,-59.53237023,3
