OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
1854,ME-1P1000108,Newton,13.07822512,-59.53829687,2
1855,ME-1P1000109,Newton,13.07816763,-59.53832203,2
1856,ME-1P1000111,Newton,13.07608034,-59.54851104,2
1857,ME-1P1000112,Newton,13.07696998,-59.54893209,2
1858,ME-1P1000113,Newton,13.07636531,-59.54806377,2
1859,ME-1Q2000416,Newton,13.08085959,-59.54253231,2
1860,ME-1Q2000418,Newton,13.08091937,-59.5442292,2
1861,ME-1Q2000419,Newton,13.08085649,-59.54277321,2
1862,ME-1Q2000420,Newton,13.08025652,-59.54565753,2
1863,ME-1Q2000423,Newton,13.08048471,-59.54673355,2
1864,ME-1Q2000424,Newton,13.08088634,-59.54490642,2
1865,ME-1Q2000426,Newton,13.08074481,-59.54358842,2
1866,ME-1Q2000433,Newton,13.08076193,-59.54491733,2
1867,ME-1Q2000435,Newton,13.08085392,-59.5443212,2
1868,ME-1Q2000436,Newton,13.08078996,-59.54695138,2
1869,ME-1Q2000437,Newton,13.08038558,-59.54654415,2
1870,ME-1Q2000439,Newton,13.08086379,-59.54693651,2
1871,ME-1Q2000441,Newton,13.07909521,-59.54818601,2
1872,ME-1Q2000442,Newton,13.07937353,-59.54808922,2
1873,ME-1Q2000445,Newton,13.08185173,-59.54258126,2
1874,ME-1Q2000914,Newton,13.07805265,-59.53044757,2
1875,ME-1Q2000915,Newton,13.07831313,-59.53074364,2
1876,ME-1Q2000924,Newton,13.07465294,-59.54041753,2
1877,ME-1Q2000925,Newton,13.07418588,-59.53997226,2
1878,ME-1Q2000926,Newton,13.07442402,-59.54057908,2
1879,ME-1Q2000927,Newton,13.07410062,-59.53998795,2
1880,ME-1Q2000928,Newton,13.07478268,-59.54212108,2
1881,ME-1Q2000929,Newton,13.07477881,-59.54207713,2
1882,ME-1Q2001055,Newton,13.07491273,-59.53633467,2
1883,ME-1Q2001065,Newton,13.07635758,-59.5317692,2
1884,ME-1Q2001066,Newton,13.07635901,-59.53174605,2
1885,ME-1Q2001067,Newton,13.0763592,-59.53172653,2
1886,ME-1Q2001068,Newton,13.07705219,-59.53212094,2
1887,ME-1Q2001070,Newton,13.07693421,-59.53129787,2
1888,ME-1Q2001071,Newton,13.07687601,-59.53138384,2
1889,ME-1Q2001073,Newton,13.07620488,-59.53476486,2
1890,ME-1Q2001074,Newton,13.07649743,-59.53534597,2
1891,ME-1Q2001076,Newton,13.07658619,-59.53085813,2
1892,ME-1Q2001077,Newton,13.07648285,-59.5308649,2
1893,ME-1Q2001079,Newton,13.07714691,-59.53067556,2
1894,ME-1Q2001088,Newton,13.07749721,-59.53387305,2
1895,ME-1Q2001089,Newton,13.07745635,-59.53413844,2
