OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Num
35,ME-1W2000110,Bath Village,13.068221050000000,-59.574928780000000,1
36,ME-1Q2006276,Bath Village,13.068664710000000,-59.568498529999999,1
37,ME-1Q2006120,Bath Village,13.069280819999999,-59.567062630000002,1
38,ME-1Q2006121,Bath Village,13.069281480000001,-59.567107110000002,1
39,ME-1Q2006182,Bath Village,13.072347450000001,-59.564225450000002,1
40,ME-1Q2006150,Bath Village,13.072892400000001,-59.562431660000001,1
41,ME-1Q2006805,Bath Village,13.069310310000001,-59.574098890000002,1
42,ME-1Q2006184,Bath Village,13.072373630000000,-59.564052459999999,1
43,ME-1P1001839,Bath Village,13.072189020000000,-59.564872690000001,1
44,ME-1Q2006413,Bath Village,13.072931870000000,-59.562009549999999,1
45,ME-1P1000852,Bath Village,13.072945150000001,-59.561575040000001,1
46,ME-1Q2006455,Bath Village,13.072941730000000,-59.561860619999997,1
47,ME-1Q2006223,Bath Village,13.072956230000001,-59.561256350000001,1
48,ME-1Q2006277,Bath Village,13.069415330000000,-59.568774349999998,1
49,ME-1P1000515,Bath Village,13.069473110000001,-59.569901190000003,1
50,ME-1Q2006119,Bath Village,13.069474390000000,-59.567030019999997,1
51,ME-1Q2005860,Bath Village,13.072461089999999,-59.566279440000002,1
52,ME-1Q2005861,Bath Village,13.072432760000000,-59.566244040000001,1
53,ME-1Q2006171,Bath Village,13.072441789999999,-59.563674910000003,1
54,ME-1Q2006222,Bath Village,13.072953610000001,-59.561316249999997,1
55,ME-1Q2006092,Bath Village,13.072974710000000,-59.560918569999998,1
56,ME-1Q2006387,Bath Village,13.069429710000000,-59.568418420000000,1
57,ME-1P1001857,Bath Village,13.071059549999999,-59.567141829999997,1
58,ME-1Q2006126,Bath Village,13.070755030000001,-59.566637640000003,1
59,ME-1Q2006225,Bath Village,13.072722430000001,-59.561369409999998,1
60,ME-1Q2006183,Bath Village,13.072432760000000,-59.563404519999999,1
61,ME-1Q2006185,Bath Village,13.072431750000000,-59.563450840000002,1
62,ME-1Q2006456,Bath Village,13.072680320000000,-59.561771690000000,1
63,ME-1Q2006226,Bath Village,13.072574890000000,-59.568373960000002,1
64,ME-1Q2006279,Bath Village,13.069476099999999,-59.568407370000003,1
65,ME-1Q2006278,Bath Village,13.069454110000001,-59.568597650000001,1
66,ME-1Q2006118,Bath Village,13.069571870000001,-59.567211389999997,1
67,ME-1Q2006389,Bath Village,13.069575960000000,-59.568396319999998,1
68,ME-1Q2006151,Bath Village,13.072440300000000,-59.563245600000002,1
69,ME-1Q2005154,Bath Village,13.072447459999999,-59.566318070000001,1
70,ME-1Q2006214,Bath Village,13.072593510000001,-59.568108369999997,1
71,ME-1U2000032,Bath Village,13.068163000000000,-59.571823989999999,1
72,ME-1Q2006281,Bath Village,13.069468179999999,-59.568733989999998,1
73,ME-1Q2003953,Bath Village,13.071760270000000,-59.572362890000001,1
74,ME-1Q2006153,Bath Village,13.072540160000001,-59.563104760000002,1
75,ME-1Q2006113,Bath Village,13.072684790000000,-59.561174680000001,1
76,ME-1Q2009000,Bath Village,13.070782660000001,-59.567172020000001,1
77,ME-1P1001838,Bath Village,13.072709440000001,-59.563363729999999,1
78,ME-1Q2006294,Bath Village,13.068875739999999,-59.568007899999998,1
79,ME-1P1000636,Bath Village,13.069753029999999,-59.568601600000001,1
80,ME-1Q2006411,Bath Village,13.072682700000000,-59.561992179999997,1
81,ME-1Q2006293,Bath Village,13.068987350000000,-59.568502819999999,1
82,ME-1P1001699,Bath Village,13.069808560000000,-59.568331270000002,1
83,ME-1Q2006127,Bath Village,13.069924680000000,-59.567137619999997,1
84,ME-1Q2006241,Bath Village,13.071014119999999,-59.566535709999997,1
85,ME-1Q2006280,Bath Village,13.068962270000000,-59.567774020000002,1
86,ME-1Q2006239,Bath Village,13.070106050000000,-59.567255869999997,1
87,ME-1Q2006072,Bath Village,13.071193820000000,-59.567259419999999,1
88,ME-1Q2006073,Bath Village,13.071216180000000,-59.567330679999998,1
89,ME-1Q2006165,Bath Village,13.072484190000001,-59.565006699999998,1
90,ME-1Q2006070,Bath Village,13.072646020000001,-59.562468850000002,1
91,ME-1Q2006217,Bath Village,13.072752910000000,-59.568612139999999,1
92,ME-1Q2006410,Bath Village,13.072660680000000,-59.562088660000001,1
93,ME-1Q2006140,Bath Village,13.072868509999999,-59.567245520000000,1
94,ME-1Q2006292,Bath Village,13.068417100000000,-59.568046119999998,1
95,ME-1P1000590,Bath Village,13.068942490000000,-59.568322449999997,1
96,ME-1Q2006291,Bath Village,13.069041020000000,-59.568761989999999,1
97,ME-1Q2006129,Bath Village,13.069921910000000,-59.566603340000000,1
98,ME-1Q2006128,Bath Village,13.069921180000000,-59.566822469999998,1
99,ME-1Q2006240,Bath Village,13.070126930000001,-59.567290020000002,1
100,ME-1Q2006162,Bath Village,13.072511909999999,-59.564977040000002,1
101,ME-1Q2006163,Bath Village,13.072488340000000,-59.564931629999997,1
102,ME-1Q2006228,Bath Village,13.072737040000000,-59.568199669999998,1
103,ME-1Q2006274,Bath Village,13.068488940000000,-59.568628490000002,1
104,ME-1Q2006615,Bath Village,13.069080500000000,-59.568890990000000,1
105,ME-1Q2006617,Bath Village,13.069090180000000,-59.568922610000001,1
106,ME-1Q2006229,Bath Village,13.072118800000000,-59.568228670000003,1
107,ME-1Q2006112,Bath Village,13.072652610000000,-59.561165930000001,1
108,ME-1Q2006454,Bath Village,13.072698920000001,-59.561643119999999,1
109,ME-1Q2006170,Bath Village,13.072707890000000,-59.564132749999999,1
110,ME-1Q2006110,Bath Village,13.072728830000001,-59.560853799999997,1
111,ME-1Q2006290,Bath Village,13.069130619999999,-59.568456200000000,1
112,ME-1P1000637,Bath Village,13.069152250000000,-59.568562440000001,1
113,ME-1Q2006386,Bath Village,13.070072270000001,-59.568228400000002,1
114,ME-1Q2006111,Bath Village,13.072730340000000,-59.560768320000001,1
115,ME-1Q2006457,Bath Village,13.072685679999999,-59.561689880000003,1
116,ME-1Q2006235,Bath Village,13.072715270000000,-59.567065229999997,1
117,ME-1Q2006139,Bath Village,13.072924110000001,-59.567184470000001,1
118,ME-1Q2006275,Bath Village,13.068476390000001,-59.568524910000001,1
119,ME-1P1000842,Bath Village,13.068695750000000,-59.567958740000002,1
120,ME-1P1000843,Bath Village,13.068828540000000,-59.568136899999999,1
121,ME-1P1000844,Bath Village,13.069124720000000,-59.568399630000002,1
122,ME-1P1000845,Bath Village,13.069108320000000,-59.568366550000000,1
123,ME-1P1000867,Bath Village,13.072632320000000,-59.562389469999999,1
